eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
414,2012,11,17,10,18,0,-731270,68550,152,3.3,3.3
415,2012,11,17,11,38,0,-731650,68120,144,2.9,2.9
416,2012,11,18,10,2,0,-731030,67810,145,2.9,2.9
417,2012,11,18,11,10,0,-731390,68040,150,2.7,2.7
418,2012,11,18,18,41,0,-731380,67980,144,3.1,3.1
419,2012,11,19,21,5,0,-731100,67730,142,2.7,2.7
420,2012,11,20,20,41,0,-731580,68150,140,3.7,3.7
421,2012,11,21,20,14,0,-731740,68090,150,3,3
422,2012,11,21,23,50,0,-731690,68120,139,2.7,2.7
423,2012,11,22,9,15,0,-731590,68170,142,3.1,3.1
424,2012,11,23,0,27,0,-731470,68300,145,3.2,3.2
425,2012,11,23,21,58,0,-731770,67490,142,2.8,2.8
426,2012,11,24,22,37,0,-731610,68400,146,3.2,3.2
427,2012,11,25,22,33,0,-731770,68340,143,3.4,3.4
428,2012,11,29,0,30,0,-731780,68050,140,3.1,3.1
429,2012,11,29,0,38,0,-731620,68120,141,3.2,3.2
430,2012,11,30,5,27,0,-731580,68250,138,3.1,3.1
431,2012,12,1,2,28,0,-731140,68120,147,3,3
432,2012,12,4,7,56,0,-731510,68140,145,3.1,3.1
433,2012,12,4,19,23,0,-731390,67790,145,3.1,3.1
434,2012,12,4,22,32,0,-731700,68080,140,3.3,3.3
435,2012,12,5,14,0,0,-731460,68220,145,3.1,3.1
436,2012,12,6,13,9,0,-731810,68380,139,3.3,3.3
